id,name,lat,lng
8506393,Wittenbach,47.462848,9.388537
8507496,Faulensee,46.673759999999994,7.697906
8508212,Hasle LU,46.978149,8.046963
8019670,Bruchmühlbach-Miesau,49.385343,7.443979
8507470,Lalden,46.301482,7.908359
8029005,Oetisheim,48.966571,8.813508
8029011,Sachsenheim,48.961292,9.063158
8029394,Herrenberg,48.593990999999995,8.862662
8508323,Sarnen Nord,46.900184,8.249114
8500123,Glovelier,47.335201,7.209296000000001
8029736,Elpersheim,49.473094,9.873427000000001
8503129,Wallisellen,47.412717,8.591911
8014136,Mosbach (Baden),49.35256,9.143655
8504014,Palézieux,46.542753000000005,6.837877000000001
8506007,Turbenthal,47.437384,8.843803
8768600,Paris-Gare de Lyon,48.844840999999995,2.374072
8503201,Rüschlikon,47.307133,8.555150999999999
8019262,Imsweiler,49.597656,7.807975999999999
8025353,Saarhölzbach,49.516441,6.6075
8518452,Prilly-Malley,46.52669,6.602628999999999
8019728,Pirmasens Nord,49.259218,7.604400999999999
8500211,Niederbipp,47.270396999999996,7.694808
8506370,St. Gallen AB,47.423411,9.370588
8500122,Bassecourt,47.336682,7.24684
8020286,München Pasing,48.149852,11.461872
8014335,Denzlingen,48.068625,7.881434
8019064,Mettenheim,49.739906,8.334166
8502199,Schöftland,47.305878,8.050008
8507084,Moos,46.910013,7.401184
8029498,Niefern,48.920281,8.769755
8004238,Neckarsulm Nord,49.202096000000004,9.228679
8014501,Haslach,48.28004,8.087975
8014480,Griessen (Baden),47.628432000000004,8.396003
8502166,Leimbach AG,47.272713,8.167857000000001
8506398,Neukirch-Egnach,47.538795,9.375834
8014124,Neckargerach (D),49.397906,9.074703999999999
8508215,Wolhusen,47.055484,8.079744999999999
8508201,Tägertschi,46.882281,7.580833999999999
8501035,Allaman,46.47574,6.399703
8501012,Creux-de-Genthod,46.26376,6.16132
8507000,Bern,46.948825,7.439118
8500102,Malleray-Bévilard,47.238704999999996,7.275932000000001
8063797,Offenburg Kreisschulzentrum,48.459784,7.955192
8515993,Baar Lindenpark,47.183134,8.517043
8011211,Walldorf (Hess),50.001339,8.580811
8504137,Léchelles,46.828449,7.01162
8069606,Heidelberg Weststadt/Südstadt,49.398324,8.688749000000001
8502223,Hedingen,47.298783,8.445953
8504127,Faoug,46.908232,7.074592
8503225,Ziegelbrücke,47.136152,9.060037
8507272,Saanenmöser,46.517610999999995,7.311719
8503125,Uster,47.350367,8.718688
8019058,Bodenheim,49.929584999999996,8.312491
8014448,Fahrnau,47.661559999999994,7.839425
8019711,Kusel,49.538282,7.410328999999999
8503224,Bilten,47.152190999999995,9.029899
8504306,Cortébert,47.189329,7.107296000000001
8029100,Beimerstetten,48.480973999999996,9.976835000000001
8019187,Bad Münster am Stein,49.813426,7.846989
8005575,Alzey Süd,49.738134,8.118732000000001
8506214,Sitterdorf,47.505221999999996,9.248985000000001
8029539,Lorch (Württ),48.797906,9.695761
8503509,Schlieren,47.399175,8.447227999999999
